,Percent Change
0,-0.208414902
1,-0.050395469
2,-0.04799319
3,-0.205498909
4,-0.289605178
5,-0.199461635
6,-0.08876729
7,-0.191345394
8,-0.013582978
9,-0.375010937
10,-0.037782728
11,0.87681385
12,-0.101949637
13,-0.027613531
14,-0.163985046
15,-0.303858003
16,0.281982695
17,-0.123528951
18,-0.150567419
19,-0.36767927
20,-0.086345352
21,0.787057925
22,0.15972852
23,-0.000876529
24,-0.010761539
25,-0.176817683
26,-0.091604807
27,0.200105077
28,-0.010035526
29,-0.10670277
30,-0.037512492
31,-0.002286093
32,-0.027699961
33,-0.122187266
34,-0.009433234
35,-0.040928426
36,-0.499530983
37,0.094467817
38,-0.006808704
39,-0.036541321
40,-0.090523338
41,-0.035675859
42,-0.022032654
43,-0.078959422
44,-0.042150161
45,-0.085976817
46,-0.242998399
47,-0.147077811
48,-0.467052464
49,-0.045394694
50,-0.100724768
51,-0.027306637
52,0.754460091
53,-0.01368566
54,-0.287176507
55,-0.407384011
56,-0.477724948
57,-0.055140977
58,-0.500925439
59,-0.064300265
60,-0.034244425
61,-0.034243448
62,-0.365326569
63,-0.116280723
64,-0.202791228
65,-0.131967108
66,-0.174278143
67,-0.069700744
68,-0.005144886
69,-0.060755248
70,-0.267063839
71,-0.090755273
72,-1.332917653
73,-0.191105683
74,-0.044558796
75,-0.083440271
76,-0.219238936
77,-0.122252209
78,-0.737238329
79,-0.110865713
80,-0.051404572
81,-0.071757355
82,-0.04374887
83,-0.231619736
84,-0.071886104
85,-0.412489191
86,-0.070387011
87,0.50257434
88,-0.036390843
89,-0.025012215
90,-0.15660415
91,-0.471662538
92,-1.165123749
93,1.418506507
94,-0.057487617
95,-0.02352292
96,1.595670634
97,-0.06314845
98,-0.080630404
99,-0.031930375
100,-0.175370336
101,-0.241839335
102,0.254971376
103,-0.087814657
104,-0.040656834
105,-0.067640311
106,0.189399802
107,-0.700929977
108,0.222675506
109,-0.377074546
110,-0.319933544
111,-0.444324306
112,-0.040703492
113,-0.068866636
114,-0.193937552
115,-0.029330475
116,-0.396386846
117,0.136668072
118,-0.767747808
119,-0.103739761
120,-0.153424095
121,-0.081177183
122,-0.045922719
123,-0.019967254
124,-0.318381309
125,-0.08839228
126,0.055286683
127,-0.032582611
128,-0.019553999
129,-0.053857012
130,-0.024109577
131,-0.528839474
132,-0.643279185
133,-0.139612354
134,-0.004593214
135,-0.141024357
136,-0.090502403
137,-0.00888214
138,-0.024817506
139,-0.091865898
140,-0.079965414
141,-0.117573441
142,-0.00308778
143,-1.396264844
144,-0.031863805
145,-0.281027566
146,-0.348455479
147,-0.021032146
148,-0.109165097
149,-0.01850367
150,-0.276101338
151,-0.037203942
152,0.037121701
153,0.210096343
154,-0.037321955
155,-0.14922661
156,-0.117511406
157,-0.065986919
158,-0.079033907
159,-0.028177263
160,-0.565938478
161,-0.488512157
162,-0.099510297
163,-0.199145718
164,-0.411876184
165,-0.071845355
166,-0.638504799
167,-0.027227554
168,-0.246510137
169,-0.148796399
170,-0.212066105
171,-0.066270945
172,-0.155978609
173,0.191820237
174,-0.087884996
175,-0.433606196
176,-0.004309243
177,-0.197055356
178,-0.02903325
179,-0.205413035
180,-0.149306872
181,0.765346446
182,-0.00085648
183,-0.308636693
184,-0.137848984
185,-0.58858034
186,-0.092647473
187,0.22491195
188,-0.087454331
189,-0.541697472
190,-0.229623117
191,0.188024927
192,-0.134227411
193,-0.043759618
194,-0.200849057
195,-0.142949742
196,0.548416426
197,-0.448944118
198,-0.077434268
199,-0.26179814
200,-0.0421451
201,-0.484526683
202,-0.083504181
203,1.091103861
204,-0.005127504
205,-0.217350379
206,-0.163269274
207,0.189574003
208,-1.296423659
209,-0.238276505
210,-0.046844676
211,-0.128987174
212,-0.016036715
213,-0.260540235
214,-0.114781798
215,-0.108362615
216,-0.08267674
217,0.141417146
218,0.097589396
219,-0.043983187
220,-0.273761955
221,-0.155336631
222,0.061096641
223,-0.091806423
224,-0.048590296
225,-0.064095247
226,-0.140306683
227,-0.014950444
228,-0.640127557
229,-0.048102887
230,-0.096518544
231,-0.953606118
232,-0.515215229
233,-0.626422326
234,-0.142657655
235,-0.038359407
236,-0.049963717
237,0.68869302
238,-0.316615562
239,-0.018859918
240,-0.149514666
241,-0.034766417
242,-0.01238098
243,-0.004698696
244,-0.070162772
245,-0.156275919
246,0.372499184
247,0.613685803
248,-0.096704819
249,-0.206424197
250,-0.210481397
251,-0.069320886
252,-0.148269753
253,-0.176091682
254,-0.07630741
255,-0.088061752
256,-0.012621265
257,-0.27151343
258,0.071636111
259,-0.118288285
260,-0.091082743
261,0.07198149
262,-0.120237276
263,0.241827599
264,-0.030519371
265,-0.172035698
266,-0.174086766
267,-0.003759975
268,-0.006071347
269,-0.151389956
270,-0.058135667
271,-0.21854006
272,-2.148834057
273,0.192665682
274,-0.304761792
275,-0.069774968
276,-0.095118157
277,-0.574341727
278,-0.03127597
279,-0.314906675
280,-0.352319085
281,-0.122308536
282,-0.213376325
283,-0.118190673
284,-0.043373379
285,-0.134308934
286,-0.061165729
287,-1.357530681
288,-0.152073816
289,-0.242211289
290,-0.05089521
291,-0.374529569
292,-0.330784862
293,0.173071532
294,-0.013384926
295,-0.051194851
296,-0.039554555
297,-0.019484394
298,-0.100628247
299,-0.194836235
300,-0.100246994
301,-0.510949787
302,-0.49285092
303,-0.012245223
304,-0.062621616
305,-0.16938722
306,-0.160477405
307,0.203455126
308,-0.03877705
309,-0.052123587
310,-0.250778615
311,-2.123702032
312,-0.023988781
313,-0.020908923
314,-0.325450872
315,-0.143608195
316,0.513868252
317,-0.487606162
318,-0.114437411
319,-0.1557866
320,-0.019830435
321,-0.007315601
322,0.547387277
323,-0.925106152
324,-0.095211732
325,-0.059318726
326,0.34222338
327,0.635195126
328,-0.034350785
329,-0.072082331
330,-0.149074558
331,-0.073342223
332,-0.048452966
333,-0.190012327
334,-0.017473248
335,-0.062980452
336,0.481741979
337,-0.008994693
338,-0.053334931
339,-0.067061451
340,-0.086644756
341,-0.027210722
342,0.092221832
343,0.176884864
344,-1.016918967
345,-0.026419452
346,-0.008900809
347,-0.037978364
348,0.025517319
349,-0.205028084
350,-0.027340755
351,-0.006829729
352,-0.024352722
353,-0.243187629
354,-0.109891092
355,-0.133224692
356,-0.022636564
357,0.357931975
358,-0.078695029
359,-0.073733263
360,-0.111117022
361,-0.478163474
362,0.127037648
363,-0.695661977
364,-0.152755731
365,-0.069429897
366,0.088643987
367,-0.69744609
368,0.348348131
369,-0.042978694
370,-0.020153103
371,0.3153512
372,-0.296835553
373,-0.154523263
374,-0.097887144
375,-0.02051542
376,1.376508947
377,-0.338729008
378,0.976594533
379,-0.080941999
380,-0.07774142
381,-0.256017596
382,-0.741895151
383,-0.890843348
384,-0.039737013
385,-0.263454335
386,-0.371533149
387,-0.041516362
388,-0.23101783
389,-0.040346052
390,-0.082340941
391,0.125059534
392,-0.854060395
393,-0.057019256
394,-0.077194057
395,-0.08253671
396,-0.562117875
397,-0.068755342
398,-0.39030167
399,-0.106549359
400,-0.172684703
401,-0.048627519
402,-0.098455878
403,0.562685094
404,-0.256024559
405,-0.107241077
406,-1.108150846
407,-0.163982886
408,-0.369192392
409,-0.193935065
410,-0.193325416
411,-0.215362978
412,-0.031446739
413,-0.009709863
414,-0.113896993
415,-0.090804339
416,0.210592291
417,-0.050407487
418,-0.047928877
419,-0.097377691
420,-0.125321921
421,-0.153974969
422,0.058078755
423,-0.059040405
424,-0.036726945
425,-0.151218424
426,0.300922623
427,0.671410891
428,-0.25682183
429,-0.019466374
430,-0.065914324
431,-0.015031643
432,-0.091015791
433,0.721744425
434,-0.041327337
435,-0.069538284
436,-0.039808312
437,-0.007598623
438,-0.073312222
439,-0.248032117
440,-0.153581374
441,0.358420794
442,0.368534605
443,-0.094296126
444,-0.099514902
445,-0.044345632
446,0.145813185
447,0.712523733
448,-0.324477371
449,-0.170197011
450,-0.128766111
451,-2.155268849
452,-0.021633744
453,-0.01530819
454,-0.009795453
455,-0.089795072
456,-0.042143752
457,0.292073723
458,-0.109404014
459,-0.024239271
460,-0.046950159
461,0.057567805
462,-0.272621057
463,-0.063861869
464,-0.139630584
465,-0.18865916
466,0.589475929
467,-0.082146043
468,-0.129655823
469,-0.108812645
470,-0.124143747
471,-0.423079535
472,-0.387752135
473,-0.051944968
474,-0.006523157
475,-0.158244973
476,-0.023442949
477,-0.029868928
478,-1.90853439
479,-0.220410357
480,-0.211349498
481,0.211078476
482,-0.150705085
483,-0.436051707
484,-0.017651723
485,-0.231778783
486,-0.074506952
487,0.083688011
488,-0.15658899
489,-0.109202641
490,-0.179550406
491,0.28623752
492,-0.229350254
493,-0.194800913
494,-0.026730178
495,-0.136759519
496,-0.004204735
497,-0.018849352
498,-0.002988411
499,-0.006217267
500,-0.214748425
501,0.283809806
502,-0.253465206
503,-0.053616762
504,-0.038770358
505,-0.212755898
506,0.593001461
507,-0.001467942
508,0.56804352
509,-0.064453848
510,-0.02413373
511,0.420442758
512,-0.089382621
513,-0.056067002
514,-0.037981693
515,-0.200478938
516,0.053569037
517,-0.254710692
518,-0.034732052
519,-0.019554222
520,-0.05072008
521,-0.197417054
522,-1.045571577
523,0.903819518
524,-0.099502488
525,-0.017664314
526,-0.69287273
527,-0.058324001
528,0.100314942
529,-0.114845367
530,-0.032068288
531,-0.093298269
532,-0.139627271
533,-0.902696983
534,-0.077296624
535,-0.033200824
536,-0.052556013
537,0.477929189
538,-0.02077463
539,-0.091546433
540,-0.071070711
541,-0.393474875
542,-0.021165017
543,-0.012299259
544,-0.443134923
545,-0.110787818
546,-0.07143836
547,0.119637469
548,-0.089224274
549,-0.170394533
550,-0.030319462
551,-0.136140093
552,-0.04174439
553,-0.008177952
554,-0.054119482
555,-0.024389677
556,-0.131257986
557,0.017436589
558,-0.065403364
559,-0.991522021
560,-0.042229234
561,-0.645763224
562,-0.189149712
563,-0.058278334
564,-0.069689704
565,-0.046039558
566,-0.115456647
567,-0.229458691
568,-0.271052757
569,-0.221809029
570,-0.147910541
571,-0.233601057
572,-0.021757337
573,-0.062234054
574,-0.099555873
575,-0.431402266
576,-0.016468792
577,-0.272883091
578,-0.029591052
579,-0.04630845
580,-0.106839188
581,0.433410503
582,-0.353175633
583,-0.071003396
584,-0.174805144
585,-0.088761918
586,-0.340675477
587,-0.237535291
588,0.224432422
589,-0.085157541
590,-0.126220178
591,-0.1853984
592,-0.628041475
593,-0.282448843
594,-0.074943046
595,-0.193394328
596,0.30556566
597,-3.471492709
598,-0.02007692
